,article_number,content,dates
709,709,news desk wgo protesters 20120823 abila kronos third anniversary death elian karel closer coming former member guards kronos question protesters protest guards kronos pok set 1997 residents rural elodis advice overledde wellness wfa international group water security pok functioning put bring attention clean water spend surrounding elodis government kronos world pok claim place aardgasboring bending gastech international tiskele source pollution drinking water well destruction traditional agriculture ground surrounds elodis 1998 wfa conducted testing water elodis finding high levels benzene toluene xylene arsenic barium chromium lead selenium declaration released wfa brought international attention testing government gastech act however smashing wfa attribute financing questions requirements pok mainly ignored downplayed also 1998 juliana vann rather healthy ten years old little girl died dawdling sickness wfagefinancierde geλisteo doctors water pollution caused government kronos refuted officially requirement quoting fragmentation organization trust wfa proof material onbetrouwbare source anyhow juliana first martyr pok picture juliana campaign literature sinsdien used second important martyr pok elian karel 2009 whereas incarcerated died indefinite causes pok claim trumped omhoog charges arrested whereas government kronos fights radical violent activist charged belastingontwijking karel geοmpliceerdn pok since commencement father seen jeroen karel original member death karel van elian 2009 seen spontaneous agencies protest round abila anniversary dead 19 june extra protests demonstrations babble violence seen pok peaceful protests demonstrations evolved require government action babble violenter activities including since claim government little done nothing aiming pollution poisonings sterfgevallen incurred people 2011 government kronos pok public threat geλtiketteerdl,2012-08-23
710,710,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 1050 gastech employee reports fire alarm pulled response bomb threat,2014-01-20
711,711,news online today meeting set tomorrow morning 20140119 abila kronos meeting set tomorrow 8 recent initial public offering ceo sten sanjorge jr,2014-01-19
712,712,tulip removal gastech kronos 20140120 abila kronos long day contrary confusing information reports still schetsmatig tale starts come clearly source government confirmed kronos fourteen gastech international employees hoofdkwartier company abila kidnapped much speculation remains concerning removal taken speculation includes presence absence international president gastech ceo sten sanjorge jr ones aim seen international gastech give statement press still speculation concerning motivation behind removal also attribute ongebreidelde recent gastech ipo moment nobody responsibility removal geλistc edvard vann gastech kronos security guard questioned 6 hours delivered daders behind events today indicated became suspicious guards kronos gastech international higher security staff employee place research support civil servants department police force government help abila kronos 20 january annual collective meeting gastech point whereas company civil servants important office reception transitioning government kronos took place abduction affirmative reports fire office possible diversion ontvoerders served misfiring event least contributed freight carriages department fire abila hoofdkwartier gastech kronos sent around 1000 morning local time kronos answer fire alarm,2014-01-20
713,713,abila post gastech leadership confirmed missing haneson ngohebo 20 january 2014 abila kronos miriam avila administrative assistant gastech international confirmed members gastech leadership fact missing group expected arrive government reception following mornings meeting gastech kronos headquarters never showed ms avila denied gastech employee abducted also denied simply skipped town newfound riches world reported 16 december 2013 gastech internationals recent initial public offering ipo netted sten sanjorge jr eyepopping 196 billion controlling share international gas drilling exploration company gastech kronos leadership also handsomely rewarded ipo filings show executive group earned collective 32725 million newly vested shares including 9625 million cfo ingrid barranco cio ada campocorrente coo orhan strum environmental safety advisor willem vascopais also earned 385 million though mr sanjorge jr maintains office centrum capital tethys gastech internationals operations take place kronos including production 5 million cubic meters gas daily ms avila works gastechs centrum headquarters,2014-01-20
714,714,news today celebration unfettered kleptocracy 20140119 abila kronos following annual gastechkronos corporate meeting gastech executives several highranking kronos government officials attend soiree kronos capital building celebrate unfettered kleptocracy kept kronos public officials mansions luxury vehicles,2014-01-19
715,715,explainer kidnapping gastech headquarters 20140120 abila kronos described power whereas act multiple international employees gastech terrorism taken incursion behaved shamelessly light day headquarters gastech kronos early information government civil employees kronos indicate enumerate 14 people like lacking nobody taken officially credit kidnapping international corporation gastech gas done anything aid provide works infrastructure trajectory advanced people kronos,2014-01-20
716,716,news sanjorge jr condemns pok terrorists 20090221 centrum tethys official statement released sten sanjorge jr president ceo gastech international condemns protectors kronos illegitimate terrorist organization statement came response wednesdays protest rally pok gastech kronos headquarters roughly 200 people gathered front gastech building chanting slogans waving signs alleging people died due results contamination gastech drilling site responded claims gastech contamination saying gastech worked tirelessly meet exceed international health standards agreed upon government kronos prior drilling ten pok protesters chained door gastech kronos barring entry building lays argument person willing trespass private property person willing chain door prevent business operating person willing break windows burn cars city person willing anything person willing anything accomplish end goal strike fear common citizen,2009-02-21
717,717,centrum sentinel voices blog approximately important people 20 january 2014 1049 still information evacuamento building gastech signs smoke fiammeggiano civil employees answering questions national fire departments entered construction altretanta like dozen completely gear affluence 20 gen 2014,2014-01-20
718,718,abila post abila airport confirms two private jets left today 20 january 2014 abila kronos abila airport fueler ravi danisliau confirmed two private jets took today fueled according danisliau seven eight passengers first plane business types appeared hurry exactly clear headed plane took around 1230 local kronos time second plane also carried seven eight business types seemed much relaxed first group passengers danisliau said second group passengers seemed celebrating something second plane departed around 1430 around two hours first plane danisliau confirmed second planes destination rome italy two private jets departed abila airport fourteen sixteen people could passengers could easily account leadership gastech kronos asked whether two planes anything gastech international danisliau replied dont ask lot questions fuel planes,2014-01-20
719,719,homeland illumination voices blog important people maha salo 20 january 2014 1410 black government sedan arrived gastech headquarters pulled front main doors got brief glimpse man suit carrying entering police closed doors behind still word missing employees 20 jan 2014,2014-01-20
720,720,tulip gastech emphasis shifts kronos 19960709 center tethys international gastech emphasis tethys moved kronos small mediterranean island enormous gas deposits ground recent charges groundwater pollution international quoting gastech environment regulation lead tethan internal minister plays certainly ivar blanes moving emphasis environment legislation separately onbestaand kronos friendly local government movement gastech feels afterwards seen inevitably,1996-07-09
721,721,news desk airport abila confirms two private today leaves jets 20140120 abila kronos abila confirmed airport fueler ravi danisliau two private radiate today becomes fuel provide took according danisliau seven consider passengers first plane company types seemed haste clearly exact conducted plane went around 1230 local time kronos start second plane carried also seven eight company types seemed relaxes first group passengers danisliau second group passengers said seemed celebrate something second plane left around 1430 around two hours first plane danisliau confirmed second destination plane rome italy two private jets left airport abila fourteen sixteen people could passengers could give easily control gastech account kronos asked yes two planes matter gastech international danisliau answered ask ask provide planes fuel,2014-01-20
722,722,news online today prominent business civic leader dies 65 19940218 centrum tethys four years diminishing health following major heart attack sten sanjorge sr sanjorge sr 65 centrum tethys president emeritus gastech international founded company 1961 survived wife ingrid sanjorge son sten sanjorge jr,1994-02-18
723,723,general post improvements needed deep port de avila 19930921 avila kronos leaves government brokered distribution international gastech avila must make improvements deep port one hopes inclines production gas traffic port increases ten times propose improvements include raise wharf east phases avila massive project 300 million accommodate new ships package greater wharf east rough 3 meters level sea due moment raise 8 meters addition port need dredge harbor birds slaughter two stone increasing depth port provide embankment raise wharf east director port claudius morluniau de avila applauded refrαn distribution additional harbor capacity open doors commerce import export distribution harbor extension introduction kronos world,1993-09-21
724,724,truth added taxes nespola minister kampioenen oil development gas 19990704 abila kronos minister health cesare nespola kondigde account would sponsor raise development taxes oil gas extra 10 increase taxes foreign gas oil development intended specifically health care clean water projects health information country areas lowest nespola strong verdediger health wellbeing citizens long support measure adds long list action undertaken name previous year creλrde minister nespola programme financial incentives devised bring qualified doctors practice medicine abila programme world added abila highest doctors specialists overal trained concerning dozen general staff hospital,1999-07-04
725,725,guide harbor facilities increased 19930921 abila kronos minister sarto interior announced government today brokered distribution company development energy tethys international gastech increase port abila gastech decided contribute 200 million towards cost harbor improvements exchange preferential location terminal gas new port resigned berth honorary percents years minister sarto declared harbor distribution extension first one many compensate harvest kronos since opened great country foreign investment march government granted gastech exclusive rights governmental fields curve tiskele greater underdeveloped deposit gas europe representatives company gastech tethys indicated harbor distribution gainwins us kronos dominant make maxima capacity fields curve tiskele,1993-09-21
726,726,tethys news break emergency gastech quarters construction modernizations 20 january 2014 approximately 1015 morning fire fire signaler extinguished centers gastech construct abila center times alarm means reunited construction order regard reunion pictures gastech comprised president gastech jr ceo sten sanjorge local pictures gastech successive transition accommodated presidential reception construction capitol,2014-01-20
727,727,modern rubicon scene blog 21 january 2014 modernization 934 police abila indicated application law civil employees government tethys working number missing modified fourteen ten names missing presumablly robbed still freed watches declared given nature evolution event announce names employs lacking would add simply confusion speculation potentially hinders continuous search news international conference gastech announced 1000 time kronos morning,2014-01-21
728,728,world source centrums central role tethan gas industry 19821002 world gas distant difficult far flung tethys years ago journeyed laboriously remote gas fields tethys look contentious new energy producing area one sites visited local office sanjorge gas company crammed reinforced work boots overalls chemicals supplies need run gas operation id forgotten encounter went back tethys day first time since early years reacquaint man created business sten sanjorge one man one richest individuals tethys lived whole story gas prospecting prospered mightily went round capital city centrum interviewing people soon realised story new energy something significant happened turn centrum global centre gas industry expertise seemed pretty impossible dream turning island coal place abundant oil gas supplies seemed us west coast scotland far flung city centrum tethys getting bit big boots starting believe new fantasy industry early 1970s new gas company gastech began juggernautlike advances canny guidance gastech evolved major supplier natural gas local region much afield notice constant clutter helicopters toing froing remote areas planes lined citys airport shuttle execs back forth city sanjorge asked produce report tethan government recommending best ways ensuring tethys continues produce energy decades come easytoget stuff produced keeping gas coming need much investment clever new techniques hyperacidic substrate removal techniques developed company 1974 thanks clever people sten sanjorge people work centrum achieved every place raw materials discovered longs city taken temporary boon energy doorstep turned specialized knowledge intellectual property may make centrum centre gas expertise long gas runs,1982-10-02
729,729,light truth technique drilling prohibited tethys 19950331 centrum tethys acid displacement hyper international substrate gastech hasr officially prohibited government tethys due high probability contamination water gastech developed innovating technique drilling 1974 completely crowned success extraction gas incidences environment technique considered unacceptable government tethys due high probability contamination table water starting waste produced process hasr sten sanjorge jr answered stating prohibition loss tethys profit another county,1995-03-31
730,730,worldwise traffic block protestateurs fields curve tiskele 20050408 abila kronos dozen protesters pok menottιs taken guard police force tuesday block access fields curve tiskele police force made arrests little time 9 hours morning protesters known violated law enfreindre property government block access ground stateowned property prevent legal commercial traffic protesters arrived entry site curve tiskele towards 530 hour morning arms locked road approximately three hours spite invited leave police force traffic road started support several drivers truck started leave vehicles gather close protesters hardenings started widen blockade persisted second hour drivers started shout curse protesters move road maintain order quickly inside moved leaders stopped protesters pok situation could climb violence appreciate citizens expressing opinion medium trunk road right forum discussion national environmental policy encourage interested citizens follow democratic process come contact representatives parliament spokesman rufus drymiau government called reportratio,2005-04-08
731,731,explainer possible contamination elodis 19970425 elodis kronos near 25 kilometers west abila small rural municipality elodis located river tiskele rough 20 kilometers waters site curve tiskele worked gastech international governmental earth citizens demand site contaminating earth water makes patient people declaration government kronos denied site curve tiskele source contamination insists ambo natural gas process perforates clean declaration continued people ill aid obtain well find source ailments required solve problem one government order protect people part international gastech preput cooperate completely government beginning relation,1997-04-25
732,732,news upgrades needed abilas deep water port 19930919 abila kronos part government brokered deal gastech international abila must make upgrades deep water port proposed upgrades include raising abilas east pier phases massive 300 million project accommodate new larger container ships additionally port need dredge port killing two birds one stone increasing depth port providing fill raise east pier port abilas director claudio morluniau applauded deal saying additional port capacity open doors import export trade,1993-09-19
733,733,homeland illumination voices blog important people maha salo 20 january 2014 1621 caught another employee exiting area told police questioning everyone asked shed seen anything usual people didnt recognize didnt get really close work second floor saw glass elevator asked could kidnappers told shouldnt say anything else police told talk anyone 20 jan 2014,2014-01-20
734,734,central bulletin tiskele bend explosion fire 20000817 abila kronos spark gastech internationalowned well tiskele bend site ignited methane gas several hundred feet underground causing fireball fire burned hour findings dual gastech government investigation explosion subsequent fire sunday morning four gastech employees suffered injuries including minor burns broken bones local residents injured well though residents elodis evacuated homes investigation indicates evacuation unnecessary official cause explosion still investigation problem may come defect wellhead gastechs wellheads ringed collars set pins running,2000-08-17
735,735,orb gathering pok draws thousands defenders 20090309 abila kronos thousands protesters carrying banners reading remember juliana singing want truth gathered front kronos government offices saturday morning protesters required accountancy incomes government tax tax incentives president araullo signed law 1993 ten years old man juliana vann died 1998 disease caused soiled water operations drilling gastech became tearing icon movement received support end kronos promised best work new roads better care health better level life aforementioned one 20 years old protestator refused make employ name see larger manors ministers hospital cost difficulty make accept protestator referred hospital general abila builds 1997 seemingly money increased income foreign gas operations kronos nonprofitmaking hospital difficulty maintaining infrastructure spite sevearl carried wide restoration years ago replace electric systems putting balance contracts given family buddies ministers shows 26 years old man jon l travelled six hours attend gathering yesterday need transparency government must know arrives entering money alien companies chief elian karel protest addressed demonstrators park town abila karel ensured control pok henk bodrogi whose bad health forced bottom position karel spoke eloquence beginnings countryside pok like effort bases clean water dynamic movement become demanding improved transparency responsibility government ask anything reasonable karel speaks passionιment burning listeners want knowing taxes employed know companies produce benefit discs expense kronos let us see promised improvements want responsibility died avarice corruption negligence protect calls office president immediately turned,2009-03-09
736,736,world upgrades needed abilas deep water port 19 september 1993 abila kronos part government brokered deal gastech international abila must make upgrades deep water port gas production ramps ports traffic expected increase tenfold proposed upgrades include raising abilas east pier phases massive 300 million project accommodate new larger container ships currently east pier roughly 3 meters sea level must raised 8 meters additionally port need dredge port killing two birds one stone increasing depth port providing fill raise east pier port abilas director claudio morluniau applauded deal saying additional port capacity open doors import export trade deal port expansion introduction kronos world,1993-09-19
737,737,homeland illumination elodis public health fact sheet 2004 petrus gerhard 29 may 2004 elodis kronos elodis community health center published update wellness study performed 1998 mortality rate incidence chronic illness increased 252 prior years full report soon posted elodis municipal website,2004-05-29
738,738,homeland illumination voices blog important people maha salo 21 january 2014 0715 welcome continuing coverage disappearance several gastech employees know police announced fourteen gastech employees disappeared sometime yesterday morning officials tethys likely gastech corporate officials arrived late last night private jet went directly abila police headquarters fire alarm sounded gastechkronos headquarters yesterday morning 1015 fire identified bomb media outlets reported information exactly missing waiting new conference 21 jan 2014,2014-01-21
739,739,world journal gas oil industry kronos informed takes greater challenge 20 years due bottom grades exploration 20120221 civils servant energy government declared 15 wells drilled last year spite strong levels investment reaching one year last record supported year structural test drilling fall 26 wells six years ago sufficiently recover fraction estimated oil poison remaining countries oil gas layers fields kronos contain abundance oil gas still found critical find us means turning current state exploration around minister energy jules jecovic annual investigation activity per oil gas kronos found last year increase fast production costs top 15 average cost extract barrel oil rise 27 year reach k17 number fields cost barrel k30 doubled last 12 months increasing costs quoted last week gastech considers future investments norway north america rather fields kronos increasing costs one expects payments taxes production treasure kronos fall k35bn 201112 k2bn per current year fast decline production oil gas starting fields kronos last years rate fall slowed 2012 bottom barrels 8 oil 83m per day equivalents gas continue read principal history fields kronos indicated jecovic contain abundance oil gas still found critical find us means turning current state exploration around availability access equipment capital two remarkable principal barriers ministry,2012-02-21
740,740,wrap minister van gezondheid om oplossing aan de vergiftiging van de stad voor te stellen 19990709 abila kronos first minister health cesare nespola kondigde account would sponsor raise taxes foreign energy development kronos finance environment cleaning turn health care rural cities improved range meetings members guards activist group kronos pok notice last week made forward gone clear pok medeleiderskarmijn osvaldo said fight clean water good health funds make event thanks minister nespola longer children must die osvaldo refer juliana vann 10 years old little girl previous year leukemia boring verrichtingen upstream house attribute benzene poisoning gas died pok formed 1997 reply pollution water supplies elodis resulting sickness sterfgevallen local residents,1999-07-09
741,741,orb elodis kronos help unexpected part two source 19980427 article second installment series three parts addressing problem growing anguish community embezzlement government influences alarming multinational multinationals country kronos caught compared henk bodrogi downtown making purchases ferro store material repair broken tractor bodrogi cultivated soya life whole hisher father fathers questioned life farm worked ground long time perhaps 200 years perhaps little henk bodrogi like indicated selected container bolts seeking good size years added hectares maintains occupied us occupied undervaluation found stabbed stiff farmer say head usually fields sun top mr henk bodrogi indicates wife obtains high children titrates inform something us eat lunch function beside dinner children become house school make drudgeries backs house majority times darkness make majority days added except days worship bodrogi identifies suitable bolt causes cash clerk children school achieves purchase let us know another bodrogi explains leave majority families lived generations first new people came city gas company established back years ask bodrogi businesses good made good recently benefit good add cultivated surface improve equipment started trouble harvests asked harvests produce past removed one moment figure one leaders city illustrated outside call water specialist examined said water soiled bodrodgi sighed glance encircled eye thanked interest says direct back house tractor fixed could function next day thanked observed rise truck head city water specialist proved international agency health international agency mission bring healthy water communities afflicted normal disasters outlines coincidentally oil formation gas caught compared representative health whole next day joclyn reynolds coordinator project health spoke satellite call office field southeast asia efforts relief establishment following earthquake mrs reynolds agreed speak minutes meetings work elodis contacted civil servant city problem water room years last agriculture effondue incidence certain diseases defects birth gone drinking water elodis comes river tiskele water leasing thus sought source upstream found sources provision reject production km operation gastech ascending tests showed high levels benzene toluene xylene arsenic lead selenium toxins substances occur naturally asked amounts suddenly subsoil water contamination usually result human activity pipes gastech discharge contaminants pond toxins form feather ground flower infiltrates river tiskele residents aspiration elodis drinking water irrigation harvests spoke gastech subject oh yes answered beginning believed gain traction met several times representatives gastech including one senior executive fluss hank personally ensured us gastech would act responsible way provide material aid financial worms efforts cleaning one moment although appeared clearly mr fluss serious sanjorge makes decisions obvious sanjorge interest wellbeing residents elodis environment sten sanjorge jr inherited share company hisher father 1990 developed reputation pitiless procedures management make progress gastech reynolds continued chiefs community decided approach government kronos assistance policy permission chiefs elodis published test results official public document chiefs elodis approached civils servant government citizens community kronesian armed scientific analysis agency ensured would still available help way agreements completed moment mrs reynolds called part telephone thus returned friend writer pondo reese saying completion history part three published may 15 1998,1998-04-27
742,742,international news pok protest gastech headquarters ends arrests 20090218 abila kronos dozens protesters attending protectors kronos pok rally front gastech regional headquarters abila arrested trespassing morning pok rally intended draw attention claims environmental damage caused development gas oil fields around kronos foreign corporations like gastech two hundred people gathered front gastech building chanting slogans waving signs held visages people allegedly died due environmental contamination ten protestors chained doors building attempt prevent gastech employees going work police spokesman adrien carman said allowed group latitude rally gastech complained protestors blocking entrance building take action government spokesman rufus drymiau said todays pok rally concerned pattern increasingly aggressive tactics protectors kronos time,2009-02-18
743,743,homeland illumination pok rally draws thousands supporters petrus gerhard 7 march 2009 abila kronos thousands protesters carrying banners reading remember juliana chanting want truth rallied front kronos government offices saturday morning protesters demanding accounting government revenues president araullos tax incentives signed law 1993 tenyear old juliana vann died 1998 illness caused contaminated water gastech drilling operations become heartrending icon movement gained support one end kronos promised better jobs new roads better healthcare better standard living said one 20year old protestor declined name used see bigger mansions ministers hospital costs fix make wont accept protestor referring abila general hospital built 1997 ostensibly money increased revenue foreign gas operations kronos nonprofit hospital difficulty maintaining infrastructure despite extensive restoration performed sevearl years ago replace electrical plumbing systems contracts given family cronies ministers accuses 26year old jon l traveled six hours attend yesterdays rally need transparency government need know happens money coming foreign companies protest leader elian karel addressed demonstrators abila city park karel took pok leadership henk bodrogi whose ill health forced position karel spoke eloquently beginnings pok campaign grassroots effort clean water dynamic movement become demanding improved government transparency accountability arent asking anything unreasonable karel speaks passionately ardent listeners want know taxes used know corporations generating records profits expense kronos see none promised improvements want accountability died greed corruption disregard protecting calls presidents office immediately returned,2009-03-07
744,744,homeland illumination voices blog important people maha salo 20 january 2014 2232 homeland illumination correspondent petrus gerhard reports airport officials confirmed arrival private jet tethys several passengers departed waiting limousine gerhard followed limousine drove directly abila police headquarters 20 jan 2014,2014-01-20
745,745,central bulletin spontaneous protests erupt around abila 20090621 abila kronos protests erupted around kronos government buildings downtown elsewhere around abila eventually escalating riots violence activists protesting death yesterday elian karel protector kronos pok activist died jail arrested tax evasion however protests turned violent smashed windows vandalized shops countless shop windows smashed around siopa downtown shopping area general sense chaos broke chanting protesters fires fleeing citizens unifying theme protesters chanted slogans including justice elian reference previously mentioned activist elian karel remember juliana young girl elodis died 1998 allegedly effects water contamination protectors kronos must resume peaceful means,2009-06-21
746,746,news online today minister health dies suddenly 20010615 abila kronos great sorrow announce death minister health cesare nespola shortly hearing nespolas death president kapelou announced nephew vincent kapelou would serve administrations new minister health,2001-06-15
747,747,explainer victory collapse president kapelou 20001003 abila kronos people kronos overwhelming form chosen new president dorel kapelou ii granted defeat araullo president anterior luis yesterday early returns came fort kapelou ii mark today new dawn people kronos shining trajectory advanced country results election 1 october follows dorel kapelou ii chose 62 vote luis araullo hardly received 36 vote victory resounding new chosen president clear mandate vision kapelou country,2000-10-03
748,748,daily pegasus deficiency intentions mars government details 19930204 abila kronos president glitzy luis araullo press conference behind schedule announced last year historical system fiscal incentives anticipated bring foreign investment kronos way created works providing cheap energy constructing infrastructure vote 8614 month last minister inner sarto takings praised decision like signal improve people see crafters revolutionary measures neglected include detailed plan unexpected gain would benefit daily kronosians first payment foreign company lands boxes state bottoms dispersed one asked 14 opposed measurement felt way also asked exactly money would concentrated education improvements ways utilities healthcare calls offices president returned,1993-02-04
749,749,centrum sentinel voices blog approximately important people 20 january 2014 1052 ceo sanjorge arrived capitol ago constructs minuteren one reception government civil employees 20 gen 2014,2014-01-20
750,750,world prominent business civic leader dies 65 17 february 1994 centrum tethys four years diminishing health following major heart attack sten sanjorge sr died early friday morning sanjorge sr 65 centrum tethys president emeritus gastech international founded company 1961 addition role gastech international chairman centrum chamber board directors member centrum childrens hospital board trustees sten always champion children tethys said hospital president willem gracias true servant leader endlessly worked drive institution forward sten truly missed ask everyone keep sanjorge family thoughts prayers sanjorge sr survived wife ingrid sanjorge son sten sanjorge jr great light world extinguished yet still casts shadow said sanjorge jr vow lead company forward renewed vision dignity honor fathers life work,1994-02-17
751,751,international times shale gas pioneer plans worlds first offshore wells mediterranean sea 3 may 1984 deleted image antioffshore drilling protester exploration proved controversial issue kronos continue reading main story son founder gas firm gastech planning venture drill mediterranean sea times learned sten sanjorge jr believes large volumes offshore gas could extracted sanjorge gastech awarded three licences kronos government last month ministry energy development hopes begin exploration soon certainly offshore gas isnt new concept theres reason kronosian history offshore development cant develop resources offshore told times shale gas extracted using controversial technique hyperacidic substrate removal involves injecting acidic chemicals shale layers break release natural gas trapped within hyperacidic substrate removal produced vast quantities gas oil west transforming energy market projects europe slow take beset opposition government local communities sanjorge says short time know offshore shale gas exploited many environmentalists believe hyperacidic substrate removal damage marine environments oppose extraction new fossil fuel resources drilling offshore avoids need difficult negotiations local councils communities landholders based existing geological data sanjorge believes considerable quantity gas place 100 trillion cubic feet would gastechs estimates onshore resources also possibility finding oil gastech estimated kronos total offshore shale gas resources could five 10 times size resources available onshore comfortable resource numbers absolutely ginormous sanjorge said exploitable thats billion dollar question gastech wiling invest answer though recently become controversial hyperacidic substrate removal used smaller scale many years improve flow conventional oil gas wells using process large numbers wells needed extract offshore shale gas commercially never done professor oskar wertz tethys university sceptical whether offshore shale gas could big contributor european energy next decade says could potential longer term gastech optimistic estimates long take explore offshore shale perfectly plausible 20 30 40 years hyperacidic substrate removal technology advanced way deal offshore environment advanced could really big industry task next 10 years try things see work,1984-05-03
752,752,worldwise escapes sanjorge de gastech removing hq gastech 20140121 abila kronos according press conference held registered offices gastech centrum tethys morning president de gastech president jr sten sanjorge turned without risk tethys brought back remove event registered offices company building abila yesterday sanjorge attended meeting company transit gastech building capitol kidnapping took place sanjorge four executives registered offices gastech people country used reception accommodated president kapelou building capitol reception given celebrate 20th year cooperation company country press conference spokesman said gastech hearts leave families removed work prompt sure resolution crisis,2014-01-21
753,753,news today protests swell abila response calls action 20120908 abila kronos thousands people lined roads thursday display antigovernment solidarity among demonstrators mestache vardshvna 23 west coast kronos important took time work part important event one many wielded power free speech voice concern current lack government transparency public monies posters colorful images elian karel juliana vann reminders heavy toll already paid leaders innocents karel prior leader protectors kronos premature death 2009 death thought murder many prompted annul rallies bring message protectors kronos public juliana vann died 1998 cancer caused environmental toxins drinking water,2012-09-08
754,754,guide pok demonstrators destroy districto siopa 20110622 abila kronos protectors demonstration kronos streets districto siopa centric abila gave rise numerous incidents vandalism sacking opportunistic yesterday crowd members dew painted new standard pok buildings cars broke sacked windows store warehouses intimidated innocent present people forced police use tubes tear gas water disperse group gamberros,2011-06-22
755,755,worldwise government announces tax tax incentives foreign investment 19930120 abila kronos today parliament voted 86 14 favor package president araullo tax tax incentives conceived delude foreign investment country right divided volumes sarto minister interior department glorifiι voice limiting business terminal designed improve lives kronosians tax tax incentives specifically aim companies development energy government hopes delude rich person kronos however little developed gas layers ministry interior projections prove development right fields curve tiskele could bring much 5000 operations billion payment high output dollars development infrastructure 20 years come,1993-01-20
756,756,abila post traffic accident near elodis 10 april 2007 abila kronos government investigation concluded traffic accident involving gastech international vehicle vehicle family elodis resulting deaths four family members result driver error part elodisian driver government spokesman rufus drymiau said investigation found deadly accident triggered driver elodis crossed oncoming traffic three passengers valeria edris celia edris marcellus edris died scene carmine edris 9 found wandering around accident site succumbed injuries later abila hospital gastech truck driver received minor injuries taken hospital observations show corporate largesse gastech international vows donate money remaining family members,2007-04-10
757,757,news desk labels pok public threat government 20110728 abila kronos government kronos guards kronos pok threat public geλtiketteerdn declaration government spokesman rufus drymiau pok described justified public threat opportunistic attribute violent demonstrations vandalism conflicts police force shop owner district siopa decreased called answered government labels pok public threat agreed public threat time round come break windows bring signs try fight surplus steal things matter suffers guards civil servant emilio haber patrols district siopa aforesaid pok windows break throw rocks chant change painting things bldg prove stomme arrest put prison belong,2011-07-28
758,758,guide advantages kronos foreign investment 19980120 abila kronos today fifth anniversary visionary plan president araullo bring foreign investment kronos act negrilla harvested enormous advantages country abila today metropolis hurries completely new cars new construction buildings offices flash modern conveniences dismantled streets factories storefronts tired sad markets past go away potholed abila today city industry place commerce investment place opportunity success prosperity come kronos best ones nevertheless still think incorrect prosperity bad us people demand foreign investment bad country diluting culture mining values demands foreigners exploding us increase government causes little watches wellbeing people militant incorrectdirected belief made demands foreign companies poisoning children technology even gone far brought foreign experts demand better interests heart help separate agenda progress prosperity people hipocresνa bring foreigners say open country us foreigners bad us absurd obvious sample mental disease oppose modernization,1998-01-20
759,759,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 630 pm executive jet gastech arrived airport occupants taken limousine building gastech,2014-01-20
760,760,daily pegasus pok protests end haltings 20050407 elodis kronos federal police kronos arrested fifteen members protectors organization activist kronos pok followed yesterday conflict doors facility gastech curve tiskele demonstrators arrived predawn arms lock traffic stop left incorporated facility per local time 8 traffic endorsement sides doors shaking demonstrators sang wellknown songs affluent protest including earth songs farmer weavers mother country federal police began arrest pok demonstrators moved way ordered van police waited singing whole time,2005-04-07
761,761,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 700 pm last gastech employees allowed leave building employee edvard vann said police interviewed hours accused involvement kidnapping shares family name several pok members vann abila native denied connected pok,2014-01-20
762,762,world source charity funds limited 19991114 aid agencies warned monetary food needs increased worldwide may able meet basic needs un office coordination humanitarian affairs says 15 million people remain need vital goods services number severity crises resulted lack food healthcare access livelihoods one new aid group caring singapore recently formed response conflict kosovo caring singapore sent five missions kosovo provide mobile medical care thirteen people injured tuesday izmit turkey people mobbed government relief convoy officials said 20000 people feared dead two earthquakes occurred year caring singapore dispatched relief teams turkey wellness assisted adhoc emergency medical teams september earthquake central taiwan measured 73 richter scale soon ran medicines funds support aid teams return home global press reported 2500 people killed 100000 buildings destroyed local press reported people felt properly cared declined relief aid global emergency disaster organization report members get aid earthquake victims need huge injections funds jim cordon disaster relief charity foodsupport told times think lack funds responsible increase attacks food convoys consequently deterring lot aid agencies getting,1999-11-14
763,763,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 1020 gastech employees evacuate building helicopter leaves roof building,2014-01-20
764,764,abila post meeting set tomorrow morning 19 january 2014 abila kronos meeting set tomorrow 8 recent initial public offering ceo sten sanjorge jr town reporters descending gastech kronos headquarters droves plenty questions abila post sending haneson ngohebo writer scene blog live blog event hopes getting sanjorge jr gastech kronos leadership group comment ipo recent wind falls gastechs plans kronos,2014-01-19
765,765,worldwise additional taxes oil formation gas demolishes parliament general 20010318 abila kronos movement increase taxes development oil gas one 10 additional demolishes today general meeting voice 77 23 increase suggested taxes supported minister health cesare nespola provide specific placement health clean projects water medical education rural sectors ministre nespola known voice parliament disappointed voice parliament concerned increase taxation would discourage foreign investment sector energy retreat program help rural black suburbs nothing persistent office send revised supplementary measure taxes parliament end year moreover work office president kapelou restructure attribution funds current taxes gas oil envisage rural projects health,2001-03-18
